RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
102001,0,United States,country,,13971.286125304103,14203.005540308162,14600.853109022242,14840.774382256137,14752.925731382757,14446.901198328767,13715.024641999038,13199.285812992397,13648.209668174743,13475.26566452382,12732.484015759628,12505.730173049069,13560.500880062435,13623.431880528631,14185.460541101573,14552.838689417677,14674.583584328313,14421.99212661296,13831.551619274038,13318.581022869248,13727.659382871007,13001.547507913669,12463.761847361895,11962.138583434657,13567.716238461991,15830.186705202312,14588.096209758698,12927.856784336638,13976.393602884851,14955.198465091209,15992.089274073325,16396.581716558285,17045.272227392896,16713.9799243773,15909.683315067457,16279.269551207777,18435.693979401152,19651.94762755462,21538.276368716517,23570.167706814766,24237.49225810315,23260.025514904315,21396.109166983915,20070.393626672787,19796.95356255575,19057.94137484591,18178.569650774418,17269.971878605367,19922.66566308992,23317.44080140781,25428.667390164177,25366.43743319135,26381.2421644276,25618.477190550064,22716.468708405697,21012.385890555193,20485.175136792117,20324.931264255778,18994.055876474667,17759.247594001146,19414.71275255388
394913,1,"New York, NY",msa,NY,33153.91069723018,33593.27944174377,34921.078571428574,33157.62757560226,32448.38641154532,29767.952933353037,28724.702085764293,26952.65163839182,29924.999699338543,29128.689283978056,27557.19114604882,26946.464468447983,30010.19541932543,28753.367596918804,29470.885920436816,30863.640780630012,29404.146137380812,28270.583905295636,26797.94957815718,25298.06770349737,29137.24579949594,27495.060204695965,26502.612048479088,26943.866624122526,28656.3511549442,29853.981920415226,28816.55613289246,26290.97625830959,28665.669392523363,28097.47510524024,31665.626728674582,32743.656828020463,35936.651052631576,34742.451843347364,35398.75482803016,33993.057594747836,37766.77949134199,40104.6186299081,42592.43609251369,45278.185225420966,42945.846883147664,40599.32325791855,38459.07701814615,36226.012210856294,39162.1865008881,36231.28355957768,35069.39176436946,32495.37980010521,39165.71122117401,,66119.35382916054,43848.80598520511,46175.02025150234,45444.51264402214,39965.19700460829,36643.36650901248,39732.63876856436,39002.41136164212,36418.691656225536,35009.904059443186,38568.96381007528
753899,2,"Los Angeles, CA",msa,CA,52248.91364902507,46413.571097372485,46761.82771194166,48364.301515554376,46056.34613003096,43059.83465022162,39556.46807432432,34582.194923713105,38861.19285932255,39453.07148783186,38962.11551630925,34979.98270676692,41890.69924141008,39536.46131879543,41184.3943980122,43846.280024509804,43348.659484281176,43420.88056610287,43253.16049382716,40696.6137177956,45011.65713755337,43080.44812272911,47261.71356625747,40575.721951219515,54969.438566552904,67079.16224489796,54781.09497206704,44265.26660341556,42292.13678717853,52713.88667582418,58162.272506925205,63987.587323458494,60622.60447761194,56956.93149001536,58051.320479862894,61577.458627325206,73955.14877589454,75056.26287471176,81997.77757009346,82728.21659278024,76638.85649054142,77344.57180710122,67384.95931392102,59459.77537630258,58846.674731962914,64776.3924654268,60285.613543091655,57546.48682559599,86955.37333333334,89130.76127320954,79451.98126672614,76842.42028061225,68911.29595246936,62801.47806354009,53531.06239701026,51977.85507011866,52510.47847076462,53618.6194790487,52669.565582104726,46777.11116435074,59819.034357316086
394463,3,"Chicago, IL",msa,IL,11792.165817670824,12886.752636447734,13080.21555181783,14058.485146421397,13798.563312799452,12979.941088209745,12166.484526459395,11139.381412800347,11675.325024697926,10640.32195345989,9935.624276745046,9442.801445674271,11599.187869362364,12102.611381094215,12397.045208165147,13214.70764059235,13254.681639902316,12850.459367632784,11920.478666141526,10950.716443966965,11544.44631849895,10780.392919836162,9575.621379738968,8851.9576115753,11115.076856274425,13027.237464901726,11651.632285115304,10711.739636620216,11340.01250343501,12364.15885040885,13512.9248066627,13381.29280462185,13404.301859034373,12983.766862771925,11606.939218523878,11518.506168722908,13807.662084398977,15762.163942307692,18237.509204712813,18670.14414114514,18597.998774209365,17084.89964157706,14881.922171734825,13966.85228812676,13538.08154868657,13115.929399243141,11842.438456189151,10869.075622208042,12452.998697916666,14154.02641955836,17067.172015765766,17518.403965303594,18387.505398457582,16897.045142524723,15421.667917057413,13828.210280847612,14020.4978558301,13837.793,12332.916716596765,11260.888196999716,13176.189879404115
394514,4,"Dallas, TX",msa,TX,12502.070909970958,12020.809907834102,13152.119940349383,13075.70275004379,12541.781798686503,11507.982053838485,10693.398693996009,9780.335786486965,10197.886641888937,10471.23032512914,9926.70151861309,9341.114945155394,10514.015260912372,10891.384063305117,11020.338139534884,11487.762814719174,11319.860979462876,10602.645966768774,10192.063321886255,9727.0509010989,10129.616193377224,9735.146656082556,9393.845450649907,8707.068142361111,9489.963268608415,11066.69023054388,10790.129459554928,9386.631126937578,10257.925660617637,11359.710422364024,11544.89665938183,11581.369684136227,12346.219474153299,13231.233497768382,13080.350301406565,12756.762720156556,14869.271604938273,15817.936647173488,17525.638719512193,19458.069506726457,21348.169459962755,20439.93050986842,16895.576834862386,17628.782588345424,17056.294930875578,16522.64132128389,17376.266472868218,16761.854545454546,18375.34188034188,22462.83312262958,19877.418335901388,22455.65991902834,23621.29283887468,22301.47455490783,18778.72398829347,17510.786123488226,15832.436083316315,15798.94849081365,15474.957467442506,13747.974694221848,14725.92854477612
394692,5,"Houston, TX",msa,TX,14980.934619506967,13917.852032520324,14239.56196386202,14748.664084198217,13919.871865959498,13231.02987811455,12318.255908170155,11934.19525583219,13250.403704643491,13062.316939252336,12607.320771919161,12069.660401647785,13708.423082857584,12890.803994803508,12931.316957679786,13755.141132656992,13338.637191854234,12483.76839908953,11793.137550984986,11141.310953738619,11830.377921801955,11383.801346441547,11305.70761375582,10887.375028274146,11462.833282442749,13828.810201937667,13125.027166276346,12859.271828997782,12683.114860583017,12887.86470154753,12992.370160810005,12899.346781940441,13451.697343808455,13936.58803021499,13153.929157345265,14052.084086170951,15585.556803995007,15576.413549039435,17777.599704032556,19406.490058479532,20902.713621737577,20733.186406289627,17833.05398702785,17301.58340735477,18079.13895730706,17579.400379506642,17362.303543913713,16381.726503340757,19172.006669282073,19608.155216284988,19303.796274276654,21169.37792525323,21878.189181987742,19940.11835748792,17199.878405151067,16158.928856714927,14925.399485440299,14955.573066263543,15806.385459308989,14923.244887903424,15452.629254302103
395209,6,"Washington, DC",msa,VA,17478.967371323528,17704.602833638026,17329.92006472492,18074.623703319503,17862.2053428317,17365.329797133818,15939.680598090434,14198.78011635866,16519.305409466568,15994.394766780433,15749.72267412303,16221.136342042755,16300.856085526315,16750.321960595866,18049.925337020395,18488.4174205221,18450.155652002366,17905.16762232416,16494.98849206349,15072.67869884575,17444.012424849698,18070.359,15934.132537688442,15569.982530120482,19423.14553237025,23194.53514445882,20028.847605893185,17375.877772534215,18609.821598272138,22372.5784359093,24045.906037000972,22743.67278287462,21176.412363362233,18169.124455507157,17412.852640545145,18505.901810584957,24070.5008,23321.864545454548,21954.701766784452,27277.079089275016,26344.59918970448,23559.649298008775,20574.476768,18261.167199610045,19319.65805706522,19277.685719128327,18544.390831390832,17562.674589409056,20876.565128449096,21172.584721074378,25774.627046263344,25624.879291845493,25969.38632446988,24337.47175965665,21844.359246171967,19548.236474774963,20089.61090336548,20619.03823747681,19954.566337755663,17946.2007488051,21516.316542713565
394856,7,"Miami, FL",msa,FL,27679.438070175438,26521.47223780146,26955.222222222223,26415.690033783783,25528.057857018004,23081.394109396915,20666.306685044798,19609.969101123595,19576.53086419753,20776.277722419927,21226.003154050464,22746.66979190487,24023.00739566825,23863.47374164507,23238.428224828145,22868.8299512987,22425.49013484741,20716.09044988161,21200.70779220779,19933.426740252806,21312.525438148714,21408.78694427051,22768.43383330169,22196.95617433414,27076.503104547744,30781.147819063004,26428.51485943775,19887.117578916885,24131.748058252426,22982.84482306684,24149.456686291,25480.45197577156,25738.443265830923,26496.918822768435,26079.450765864334,24917.53093462045,31833.064198369564,26291.651918976546,33740.94994712104,32763.213063949403,36881.1411992263,36232.53502854177,34391.90672913117,32557.231814720813,33113.611410601974,31411.006172839505,34849.74642217245,31865.513682564502,38575.21207307387,49790.09832841691,55186.56904868913,53099.2335215736,56922.29216518719,54903.70204147124,43287.23272873194,38628.8846555773,38623.46791060078,38004.24211109061,36993.727683152065,39252.25271084337,43088.33030084746
394974,8,"Philadelphia, PA",msa,PA,10582.365626572722,11127.916943521595,11642.744824580519,11281.926260799679,13798.784669479606,13194.587011821039,11968.795567948342,11264.318557475583,12684.742584745763,11802.017347580138,11083.315418956045,10643.451289833081,11043.452157197778,11110.130392156863,11891.353246214478,12812.319550115779,13644.481200816088,12601.439571874536,11743.967377666248,11536.547866009181,12550.297592003635,11967.579096045198,11061.319287576021,10147.366277010273,11933.738513896767,14572.622138992925,12658.3375373382,12256.511207970112,11831.479342158042,13794.344416027281,14984.396682188592,14515.945920303606,14902.16870144284,13942.698440643862,13853.4863934939,14042.557843137254,13938.765801077903,15152.685333333333,15139.257731958764,18363.935866983375,18538.936108297625,17340.95788869258,15790.364099949005,14386.922247303737,15626.388482186432,15152.981223557692,14213.073815301654,13329.843512763595,14350.094211123724,14783.412459016394,16373.136585482329,17443.853785900785,19709.828090937404,16920.95661104583,17047.286451392058,15123.465859052247,16210.4405288998,16052.877058177826,15162.503539509536,13335.63699403396,14220.538960990247
394347,9,"Atlanta, GA",msa,GA,12461.39240506329,13562.690829214716,13844.176857330704,13701.102072141213,13499.253532060238,12920.64244954767,11458.03606225484,10999.643532368074,11025.0150801131,10811.701070612295,9612.982915360502,9195.144581221337,10320.916893079751,10878.289218281277,10912.26406045633,11158.794099024946,11503.612478031635,11100.280787653008,10655.585440769939,10144.49796871826,10030.218802698146,9597.501624908271,8905.203351449276,8619.78771813563,10069.368156705174,12232.644925499017,12027.740056022409,10209.07502569373,11554.634697920106,12214.851510941298,13415.52427184466,13470.995906936665,13892.927294685991,14232.35495135944,14294.575510204082,13960.628256513026,18045.806554392355,17659.006165228115,21594.76536885246,20913.315891472866,22541.178195144297,22140.24983187626,19646.677721518987,20170.710880829014,18659.022087244615,18973.15211521152,17948.959313921023,16407.137640449437,17481.400887573964,18702.92988929889,20197.44389807778,18476.599493487698,21291.43673801138,19883.35608762099,17030.675710594314,16351.959502289,15355.483530961792,15096.128899082569,14883.58721907965,13275.47671893848,14360.089941972921
